id,observed_on_string,observed_on,time_observed_at,time_zone,created_at,updated_at,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,positioning_method,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
4680,"January 31, 2010",2010-01-31,,Pacific Time (US & Canada),2010-02-05 04:13:27 UTC,2020-06-01 20:49:06 UTC,research,2,0,false,,"Pacifica, CA",37.6042366028,-122.4996185303,,,,beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
4783," April 25, 2004",2004-04-25,,Pacific Time (US & Canada),2010-02-06 05:00:12 UTC,2020-06-01 20:49:33 UTC,research,2,0,false,,Pacifica ,37.6041679382,-122.4996185303,,,,beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
9473,2009-12-26,2009-12-26,,Pacific Time (US & Canada),2010-12-29 20:59:00 UTC,2022-11-30 03:07:28 UTC,research,3,0,false,,chrissy field,37.8055761874,-122.4544394016,,,,beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
11062,"February 7, 2011 5:44:11 PM PST",2011-02-07,2011-02-08 01:44:11 UTC,Pacific Time (US & Canada),2011-02-08 02:13:00 UTC,2020-06-04 22:49:58 UTC,research,2,0,false,,"37.75271224975586, -122.44763946533203",37.7527122498,-122.4476394653,,,,beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
13921,"April 03, 2011 14:23",2011-04-03,2011-04-03 21:23:00 UTC,Pacific Time (US & Canada),2011-04-05 04:39:08 UTC,2019-03-24 16:38:27 UTC,research,1,0,false,,"Tank Hill Natural Area, San Francisco, California, United States",37.755836,-122.445716,,,,Fragaria chiloensis,Fragaria chiloensis,beach strawberry,Plantae,55367
14657,2011-04-02,2011-04-02,,Eastern Time (US & Canada),2011-04-17 15:35:17 UTC,2018-05-20 20:07:34 UTC,research,2,0,false,,El Granada California,37.5018275427,-122.4991035461,,,,beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
14959,"April 19, 2011 09:12",2011-04-19,2011-04-19 16:12:00 UTC,Pacific Time (US & Canada),2011-04-21 02:07:43 UTC,2019-10-17 21:42:09 UTC,research,2,0,false,,"Bean Hollow State Beach, Pescadero, CA, USA",37.224477,-122.408739,,28417,,beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
16261,"May 04, 2011 12:59",2011-05-04,2011-05-04 19:59:00 UTC,Pacific Time (US & Canada),2011-05-06 15:09:38 UTC,2018-05-20 20:07:37 UTC,research,2,0,false,,"Año Nuevo State Reserve, San Mateo County, California, United States",37.145811,-122.350991,,,,beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
21835,2011-06-15,2011-06-15,,Pacific Time (US & Canada),2011-06-16 18:57:22 UTC,2022-11-30 03:12:42 UTC,research,4,1,false,,"Baker Beach, San Francisco",37.794191,-122.4832446,,,,beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
31454,"September 17, 2011 2:00:47 PM PDT",2011-09-17,2011-09-17 21:00:47 UTC,Pacific Time (US & Canada),2011-09-18 01:19:41 UTC,2018-05-20 20:07:38 UTC,research,2,0,false,,"301 Radio Rd, Brisbane, CA  94005-1900, , United States",37.6950073242,-122.435546875,30,30,,beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
