id,observed_on_string,observed_on,time_observed_at,time_zone,created_at,updated_at,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,positioning_method,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1902,"March 14, 2009 16:03",2009-03-14,2009-03-14 23:03:00 UTC,Pacific Time (US & Canada),2009-03-15 14:21:03 UTC,2018-03-11 20:45:55 UTC,research,1,0,false,,"Oakland, California, United States",37.8484230042,-122.1973190308,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
4500,"January 24, 2010 17:00",2010-01-24,2010-01-25 01:00:00 UTC,Pacific Time (US & Canada),2010-01-26 04:45:37 UTC,2020-06-01 20:48:48 UTC,research,1,0,false,,gazos creek road,37.1850967407,-122.335319519,,,,wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
5443,2010-02-13,2010-02-13,,Pacific Time (US & Canada),2010-02-14 15:22:47 UTC,2017-06-23 23:28:06 UTC,casual,0,0,false,,"Bonita Cove, Marin County, CA",37.8276329041,-122.5120010376,,,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
9309,2010-12-11,2010-12-11,,Pacific Time (US & Canada),2010-12-12 20:22:54 UTC,2020-06-04 22:38:53 UTC,research,1,0,false,,Sweeney Ridge,37.6073226929,-122.4562759399,,,,wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
10532,2011-01-23,2011-01-23,,Pacific Time (US & Canada),2011-01-25 05:33:51 UTC,2020-06-04 22:43:16 UTC,research,2,0,false,,San Bruno Mountain,37.6823938653,-122.4285507202,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
11759,"February 26, 2011 3:07:34 PM PST",2011-02-26,2011-02-26 23:07:34 UTC,Pacific Time (US & Canada),2011-02-26 23:31:26 UTC,2018-05-20 20:06:42 UTC,research,2,0,false,,"38.30755615234375, -123.01774597167969",38.3075561523,-123.0177459717,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
12162,2003-05-17,2003-05-17,,Pacific Time (US & Canada),2011-03-05 22:37:25 UTC,2017-06-23 23:28:06 UTC,casual,0,0,false,,"Big Creek Reserve, Monterey County, CA",36.0698671,-121.5989918,,,,Fragaria vesca,Fragaria vesca,woodland strawberry,Plantae,50298
12862,2011-03-14,2011-03-14,,Pacific Time (US & Canada),2011-03-15 23:33:02 UTC,2018-05-20 20:06:36 UTC,research,2,0,false,,"Pepperwood Preserve, CA",38.564342,-122.690286,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
12969,"March 16, 2011 6:01:37 PM PDT",2011-03-16,2011-03-17 01:01:37 UTC,Pacific Time (US & Canada),2011-03-18 21:23:24 UTC,2018-05-20 20:06:37 UTC,research,2,0,false,,"38.567203521728516, -122.73629760742188",38.5672035217,-122.7362976074,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
13840,2011-04-03,2011-04-03,,Hawaii,2011-04-04 02:39:40 UTC,2021-05-08 19:25:08 UTC,research,2,0,false,,"Bonny Doon Ecological Reserve, Bonny Doon, CA",37.0509301329,-122.1361684799,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
17186,2011-05-13,2011-05-13,,Pacific Time (US & Canada),2011-05-15 00:18:58 UTC,2018-03-14 02:15:39 UTC,research,1,0,false,,"Pepperwood Preserve, CA",38.596433,-122.690505,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
19158,"May 03, 2010 15:57",2010-05-03,2010-05-03 22:57:00 UTC,Pacific Time (US & Canada),2011-05-30 17:10:19 UTC,2018-03-13 17:20:13 UTC,research,1,0,false,,Marin Headlands CA,37.827706,-122.5060841,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
22413,"June 21, 2011 12:51:07 PM PDT",2011-06-21,2011-06-21 19:51:07 UTC,Pacific Time (US & Canada),2011-06-21 19:56:26 UTC,2017-06-23 22:58:55 UTC,research,1,0,false,,"Interstate 5, Olympia, WA 98501, USA",48.718754368,-121.1184632778,,,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
35736,2011-10-02,2011-10-02,,Pacific Time (US & Canada),2011-10-15 20:08:52 UTC,2018-05-20 20:07:39 UTC,research,2,0,false,,"Tennessee Valley, Marin County, CA",37.8532038443,-122.5039100647,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
49574,2012-01-29,2012-01-29,,Pacific Time (US & Canada),2012-01-30 04:56:11 UTC,2018-05-20 20:07:24 UTC,research,2,0,false,,"Pepperwood Preserve, CA",38.5833681937,-122.6916110516,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
